legacy_alias,current_portion,candidate_rank,cnf_food_id,score,cnf_fr,cnf_en,kcal_100g,protein_100g,carbs_100g,fat_100g
figue fraîche,1 fruit,2,2405,0.333,"Persil, frais","Parsley, fresh",36,2.97,6.33,0.79
figue fraîche,1 fruit,3,212,0.25,"Épices, basilic, frais","Spices, basil, fresh",22,3.15,2.65,0.64
figue fraîche,1 fruit,4,215,0.25,"Épices, thym, frais","Spices, thyme, fresh",101,5.56,24.45,1.68
figue fraîche,1 fruit,5,1549,0.25,"Figue, séchée, non cuite","Fig, dried, uncooked",249,3.3,63.87,0.93
dattes,3 dattes,1,5401,1.133,"Datte, variété Medjool","Date, medjool",277,1.81,74.97,0.15
dattes,3 dattes,2,1710,1,"Datte, domestique, naturelle et séchée","Date, domestic, natural and dry",282,2.45,75.03,0.39
dattes,3 dattes,3,1583,0.65,"Jujube (datte chinoise), cru","Jujube (chinese date), raw",79,1.2,20.23,0.2
dattes,3 dattes,4,1584,0.65,"Jujube (datte chinoise), sec","Jujube (chinese date), dried",281,4.72,72.52,0.5
dattes,3 dattes,5,7847,0.6,"Biscuit, avoine, dattes, moelleux, commercial","Cookie, oatmeal, date, soft type, commercial",412.736130015,5.46,66.252773997,13.987226003
grenade,1 tasse grains,1,1667,1.3,"Grenade, crue","Pomegranate, raw",83,1.67,18.7,1.17
grenade,1 tasse grains,2,6661,0.9,Jus de grenade,"Juice, pomegranate",55,0.15,13.13,0.29
grenade,1 tasse grains,3,6845,0.483,"Céréale, prête-à-manger, Granola: grenade plus avec cerises, Nature's Path","Cereal, ready to eat, Pomegran Plus Cherry Granola, Nature's Path",451,9.12,69.76,15.88
pamplemousse,1 moyen,1,1565,1.05,"Pamplemousse, blanc, californie, cru","Grapefruit, white, california, raw",37,0.88,9.09,0.1
pamplemousse,1 moyen,2,1566,1.05,"Pamplemousse, blanc, floride, cru","Grapefruit, white, florida, raw",32,0.63,8.19,0.1
pamplemousse,1 moyen,3,1570,1.05,"Pamplemousse, jus, conserve, sucré","Grapefruit juice, canned, sweetened",46,0.58,11.13,0.09
pamplemousse,1 moyen,4,1572,1.05,"Pamplemousse blanc, jus, frais","Grapefruit juice, white, raw",39,0.5,9.2,0.1
pamplemousse,1 moyen,5,6440,1.05,"Pamplemousse rose, jus, frais","Grapefruit juice, pink, raw",39,0.5,9.2,0.1
fruit de la passion,3 fruits,1,1630,1.3,"Grenadille (fruit de la passion), crue","Passion fruit, purple, raw",97,2.2,23.38,0.7
fruit de la passion,3 fruits,2,1631,1.2,"Grenadille (fruit de la passion). jus, frais","Passion fruit juice, purple, raw",51,0.39,13.6,0.05
fruit de la passion,3 fruits,3,1632,1.2,"Grenadille (passiflora laurifolia), jaune, jus, frais","Passion fruit juice, yellow, raw",60,0.67,14.45,0.18
fruit de la passion,3 fruits,4,2496,0.286,"Piments de la Jamaïque, conserve","Pimento, canned",23,1.1,5.1,0.3
fruit de la passion,3 fruits,5,169,0.25,"Épices, piments de la jamaïque, moulu","Spices, allspice, ground",263,6.09,72.12,8.69
litchi,1 tasse,1,1596,1.3,"Litchi, cru","Lychee (litchi), raw",66,0.83,16.53,0.44
litchi,1 tasse,2,1597,1.3,"Litchi, séché","Lychee, dried",277,3.8,70.7,1.2
litchi,1 tasse,3,4878,0.6,"Ramboutan / litchi chevelu, conserve, sirop","Rambutan, canned, syrup pack",82,0.65,20.87,0.21
goyave,1 tasse,1,1578,1.133,"Goyave, ordinaire, crue","Guava, common, raw",68,2.55,14.32,0.95
goyave,1 tasse,2,1579,1.133,"Goyave, fraise, crue","Guava, strawberry, raw",69,0.58,17.36,0.6
goyave,1 tasse,3,1580,1.133,"Goyave, sauce aux, cuite","Guava sauce, cooked",36,0.32,9.48,0.14
goyave,1 tasse,4,6204,1.133,"Goyave, nectar, en conserve","Guava, nectar, canned",57,0.09,14.87,0.06
noix de coco fraîche,1/2 tasse,1,2558,1.133,"Noix de coco, crue","Coconut meat, raw",354,3.33,15.23,33.49
noix de coco fraîche,1/2 tasse,2,2559,1.05,"Noix de coco, désséchée, non sucrée","Coconut meat, desiccated, unsweetened",660,6.88,23.65,64.53
noix de coco fraîche,1/2 tasse,3,2562,1.05,"Noix de coco, désséchée, grillée","Coconut meat, desiccated, toasted",592,5.3,44.4,47
noix de coco fraîche,1/2 tasse,4,2566,1.05,"Noix de coco, eau (liquide de la noix)",Coconut water (liquid from coconut),19,0.72,3.71,0.2
noix de coco fraîche,1/2 tasse,5,2602,1.05,"Noix de coco, désséchées, en crème","Coconut meat, desiccated, creamed",684,5.3,21.52,69.08
compote de pommes,1/2 tasse,1,7962,0.477,"Met surgelé, met asiatique, poulet avec légumes et riz, sauce à l'ananas, réchauffé","Frozen entree, Asian dish, chicken with vegetables and rice, pineapple sauce, heated",114.341845616,5.468388557,19.834126914,1.459087081
compote de pommes,1/2 tasse,2,1681,0.333,"Jambose (pommes de rose), crue","Rose-apple, raw",25,0.6,5.7,0.3
compote de pommes,1/2 tasse,3,3989,0.333,"Strudel, pommes","Strudel, apple",274,3.3,41.1,11.2
compote de pommes,1/2 tasse,4,4364,0.333,"Grignotises, bâtonnets de pommes de terre","Snacks, potato sticks",522,6.7,53.3,34.4
compote de pommes,1/2 tasse,5,6785,0.333,Pain de pommes de terre (patates),"Bread, potato",266,12.5,47.07,3.13
fruits séchés,1/4 tasse,1,1597,0.333,"Litchi, séché","Lychee, dried",277,3.8,70.7,1.2
fruits séchés,1/4 tasse,2,1600,0.333,"Longan, séché","Longan, dried",286,4.9,74,0.4
fruits séchés,1/4 tasse,3,5402,0.333,"Confits, fruits","Candied foods, fruit",322,0.34,82.74,0.07
fruits séchés,1/4 tasse,4,6268,0.333,"Agave, séché","Agave, dried",341,1.71,81.98,0.69
fruits séchés,1/4 tasse,5,171,0.25,"Épices, basilic, déshydraté","Spices, basil, dried",233,22.98,47.75,4.07
canneberges séchées,1/4 tasse,1,1597,0.333,"Litchi, séché","Lychee, dried",277,3.8,70.7,1.2
canneberges séchées,1/4 tasse,2,1600,0.333,"Longan, séché","Longan, dried",286,4.9,74,0.4
canneberges séchées,1/4 tasse,3,6268,0.333,"Agave, séché","Agave, dried",341,1.71,81.98,0.69
canneberges séchées,1/4 tasse,4,171,0.25,"Épices, basilic, déshydraté","Spices, basil, dried",233,22.98,47.75,4.07
canneberges séchées,1/4 tasse,5,176,0.25,"Épices, cerfeuil, déshydraté","Spices, chervil, dried",237,23.2,49.1,3.9
brocoli,1 tasse cuit,1,2374,1.3,"Brocoli, cru","Broccoli, raw",34,2.82,6.64,0.37
brocoli,1 tasse cuit,2,2375,1.133,"Brocoli, bouilli, égoutté","Broccoli, boiled, drained",35,2.38,7.18,0.41
brocoli,1 tasse cuit,3,4851,1.133,"Brocoli, chinois, cuit","Broccoli, chinese, cooked",22,1.14,3.81,0.72
brocoli,1 tasse cuit,4,6278,1.133,"Brocoli, fleurettes, crues","Broccoli, flower clusters, raw",28,2.98,5.06,0.35
brocoli,1 tasse cuit,5,6279,1.133,"Brocoli, tiges, crues","Broccoli, stalks, raw",28,2.98,5.24,0.35
chou-fleur,1 tasse cuit,1,2385,1.467,"Chou-fleur, cru","Cauliflower, raw",25,1.92,4.97,0.28
chou-fleur,1 tasse cuit,2,2046,1.3,"Chou-fleur, bouilli, égoutté","Cauliflower, boiled, drained",23,1.84,4.11,0.45
chou-fleur,1 tasse cuit,3,2358,1.3,"Chou-fleur, vert, cru","Cauliflower, green, raw",31,2.95,6.09,0.3
chou-fleur,1 tasse cuit,4,2359,1.3,"Chou-fleur, vert, bouilli","Cauliflower, green, boiled",33,3.04,6.28,0.31
chou-fleur,1 tasse cuit,5,2047,1.2,"Chou-fleur, congelé, non préparé","Cauliflower, frozen, unprepared",24,2.01,4.68,0.27
carotte,1 tasse,1,2380,1.3,"Carotte, crue","Carrot, raw",41,0.93,9.58,0.24
carotte,1 tasse,2,5416,1.3,"Carotte, déshydratée","Carrot, dehydrated",341,8.1,79.57,1.49
carotte,1 tasse,3,2312,1.133,"Carotte, jus, conserve","Carrot juice, canned",39,0.95,9.28,0.15
carotte,1 tasse,4,2353,1.133,"Carotte, petite, crue","Carrot, baby, raw",35,0.64,8.24,0.13
carotte,1 tasse,5,2381,1.133,"Carotte, bouillie, égouttée","Carrot, boiled, drained",35,0.76,8.22,0.18
concombre,1 tasse,1,2363,1.3,"Concombre, cru","Cucumber, raw",16,0.65,3.63,0.11
concombre,1 tasse,2,4848,1.133,"Concombre, pelé, cru","Cucumber, peeled, raw",10,0.59,2.16,0.16
concombre,1 tasse,3,5940,1,"Concombre de mer (holothurie), autochtone","Sea cucumber, Indigenous",68,13,3.1,0.4
concombre,1 tasse,4,2337,0.733,"Marinades, cornichons sucrés","Pickles, cucumber, sweet",91,0.58,21.15,0.41
concombre,1 tasse,5,2338,0.733,"Marinades, cornichons sûrs","Pickles, cucumber, sour",11,0.33,2.26,0.2
tomates cerises,1 tasse,1,2260,0.333,"Tomate, poudre",Tomato powder,302,12.91,74.68,0.44
tomates cerises,1 tasse,2,4397,0.333,"Confits, cerises","Candied foods, cherries",339,0.5,86.7,0.2
tomates cerises,1 tasse,3,985,0.25,"Soupe, tomates, déshydratée","Soup, tomato, dehydrated",360,8.63,68.3,8.35
tomates cerises,1 tasse,4,1531,0.25,"Cerise sucrée (guigne), crue","Cherry, sweet, raw",63,1.06,16.01,0.2
tomates cerises,1 tasse,5,2255,0.25,"Tomate, verte, crue","Tomato, green, raw",23,1.2,5.1,0.2
tomate,1 moyenne,1,2260,1.3,"Tomate, poudre",Tomato powder,302,12.91,74.68,0.44
tomate,1 moyenne,2,2255,1.133,"Tomate, verte, crue","Tomato, green, raw",23,1.2,5.1,0.2
tomate,1 moyenne,3,2348,1.133,"Tomate, séchée au soleil","Tomato, sun-dried",258,14.11,55.76,2.97
tomate,1 moyenne,4,2494,1.133,"Tomates, ketchup (catsup)",Tomato ketchup (catsup),101,1.04,27.4,0.1
tomate,1 moyenne,5,4849,1.133,"Tomate, jaune, crue","Tomato, yellow, raw",15,0.98,2.98,0.26
poivron rouge,1 moyen,1,2484,1.467,"Poivron rouge, cru","Pepper, sweet, red, raw",26,0.99,6.03,0.3
poivron rouge,1 moyen,2,5417,1.467,"Poivron rouge, sauté","Pepper, sweet, red, sauteed",133,1.04,6.57,12.75
poivron rouge,1 moyen,3,6485,1.467,"Poivron rouge, lyophilisé","Pepper, sweet, red, freeze-dried",314,17.9,68.7,3
poivron rouge,1 moyen,4,2486,1.3,"Poivron rouge, bouilli, égoutté","Pepper, sweet, red, boiled, drained",28,0.92,6.7,0.2
poivron rouge,1 moyen,5,2487,1.133,"Poivron rouge, bouilli, égoutté, sel ajouté","Pepper, sweet, red, boiled, drained, with salt",26,0.92,6.11,0.2
poivron vert,1 moyen,1,2300,1.467,"Poivron vert, lyophilisé","Pepper, sweet, green, freeze-dried",314,17.9,68.7,3
poivron vert,1 moyen,2,2413,1.467,"Poivron vert, cru","Pepper, sweet, green, raw",20,0.86,4.64,0.17
poivron vert,1 moyen,3,5415,1.467,"Poivron vert, sauté","Pepper, sweet, green, sauteed",116,0.78,4.22,11.85
poivron vert,1 moyen,4,2414,1.3,"Poivron vert, bouilli, égoutté","Pepper, sweet, green, boiled, drained",28,0.92,6.7,0.2
poivron vert,1 moyen,5,2161,1.133,"Poivron vert, conserve, solides et liquide","Pepper, sweet, green, canned, solids and liquid",18,0.8,3.9,0.3
épinards,1 tasse cuits,1,2213,1.3,"Épinard, cru","Spinach, raw",23,2.86,3.63,0.39
épinards,1 tasse cuits,2,2214,1.133,"Épinard, bouilli, égoutté","Spinach, boiled, drained",23,2.97,3.75,0.26
épinards,1 tasse cuits,3,2216,1.133,"Épinard, congelé, non préparé","Spinach, frozen, unprepared",29,3.63,4.21,0.57
épinards,1 tasse cuits,4,2315,1.133,"Épinard, soufflé, fait maison","Spinach souffle, homemade",172,7.89,5.9,12.95
épinards,1 tasse cuits,5,2217,1.05,"Épinard, congelé, bouilli, égoutté","Spinach, frozen, boiled, drained",34,4.01,4.8,0.87
kale,1 tasse,1,2395,1.3,"Chou vert frisé, cru","Kale, raw",35,2.92,4.42,1.49
kale,1 tasse,2,2105,1.133,"Chou vert frisé, bouilli, égoutté","Kale, boiled, drained",36,2.94,5.3,1.21
kale,1 tasse,3,2106,1.133,"Chou vert frisé, congelé, non préparé","Kale, frozen, unprepared",27.724665392,2.66,4.88,0.46
kale,1 tasse,4,2295,1.133,"Chou à feuilles, non pommé, cru","Kale, scotch, raw",42,2.8,8.32,0.6
kale,1 tasse,5,2107,1.05,"Chou vert frisé, congelé, bouilli, égoutté","Kale, frozen, boiled, drained",36,2.94,5.3,1.21
laitue romaine,2 tasses,1,2116,3,"Laitue, romaine","Lettuce, cos or romaine",17,1.23,3.29,0.3
laitue romaine,2 tasses,2,2117,0.333,"Laitue, frisée","Lettuce, looseleaf",15,1.36,2.87,0.15
laitue romaine,2 tasses,3,2051,0.25,"Laitue-tige, crue","Celtuce, raw",18,0.85,3.65,0.3
laitue romaine,2 tasses,4,2115,0.25,"Laitue, butterhead (Boston)","Lettuce, butterhead (Boston, bibb)",13,1.35,2.23,0.22
laitue romaine,2 tasses,5,2398,0.25,"Laitue, iceberg (pommée)","Lettuce, iceberg",14,0.9,2.97,0.14
laitue,2 tasses,1,2116,1.3,"Laitue, romaine","Lettuce, cos or romaine",17,1.23,3.29,0.3
laitue,2 tasses,2,2117,1.3,"Laitue, frisée","Lettuce, looseleaf",15,1.36,2.87,0.15
laitue,2 tasses,3,2398,1.3,"Laitue, iceberg (pommée)","Lettuce, iceberg",14,0.9,2.97,0.14
laitue,2 tasses,4,2051,1.133,"Laitue-tige, crue","Celtuce, raw",18,0.85,3.65,0.3
laitue,2 tasses,5,2115,1.133,"Laitue, butterhead (Boston)","Lettuce, butterhead (Boston, bibb)",13,1.35,2.23,0.22
courgette,1 moyenne,1,6760,1.05,"Courgettes, en pâte à frire, frites","Zucchini, battered and fried",167,2.585,9.284,13.748
courgette,1 moyenne,2,2225,0.65,"Courge d'été, courgette (zucchini), crue","Squash, summer, zucchini, raw",17,1.21,3.11,0.32
courgette,1 moyenne,3,2226,0.6,"Courge d'été, courgette (zucchini), bouillie, égouttée","Squash, summer, zucchini, boiled, drained",15,1.14,2.69,0.36
courgette,1 moyenne,4,2227,0.6,"Courge d'été, courgette (zucchini), congelée, non préparée","Squash, summer, zucchini, frozen, unprepared",17,1.16,3.58,0.13
